timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,MM," Oh, yes. I did. But wasn’t that serious just body aches. I received treatment and recovered without much ado.",,,,
,EM,"Oh ok.",,,,
,MM,"But when I came for good, when they closed TEBA, I did get sick of TB. But I recovered it.",,,,
,EM,"So, while working in the mines, were you ever get visitors from Malawi Government?",,,,
,MM,"Yes, we received some government officials, who came to check on us and encouraged us to work well and maintain discipline. But I personally never met them as I did not go to meet them",,,,
,EM,"So, you never thought of running away from your contract?",,,,
,MM,"Not at all. You see, some weekends, a fortnight, they would give us off on Saturdays. And the other weekend, I would work but at night.  On some off days, I would walk out and work in the nearest gardens and farms of the white farmers.",,,,
,EM,"Oh yeah! To add up some income?",,,,
,MM,"Yes.",,,,
,EM,"You went to South Africa before you married right?",,,,
,MM,"Yes. I only married when I came back from the first trip.",,,,
,EM,"So, while in the mines or on your part time moment, did you manage to have a girlfriend there?",,,,
,MM,"No ways. We were really looked after. They checked on us and you would not dare have a girlfriend. Also, they warned us that if we get sexual diseases, we will be responsible for ourselves not the company. The company is sorely responsible if we get diseases while in the mine. So, we were very careful and minding our work.",,,,
,EM,"But while in the mines weren’t you drinking beers and other beverages?",,,,
,MM,"Of course, we had a hall and bar. So, beers were served in the hall for those who could drink were able to do so. And we could have dances. Women dancers could come in the hall to entertain us. But no casual women could walk in the mines, no ways. Only dancing women",,,,
,EM,"So, in the mine only women, no women?",,,,
,MM,"No woman worker in the mines. It was men’s show only.",,,,
,EM,"Wow! And what are iziboda?",,,,
,MM,"Oh, these are designated house or hostel leaders. His bed would be near the door. If something goes wrong in the house, we will report to him. He would solve the issue. He would bring peace amongst us. But if the dispute gets heated, he then reports it to the site manager (white).",,,,
,EM,"Oh, I see, so Iziboda reports to the site manager?",,,,
,MM,"Yes. The manager would bring peace to the dispute. The police would also check our hostels constantly looking for knives and other metals that can be used during conflicts. If we buy stuffs like knives, we used to keep them elsewhere the police won’t be able to see them",,,,
,EM,"How about issues of homosexuality? Like men sleeping with other men, since you were only men in the mines.",,,,
,MM,"Ohm I never heard of that. Maybe it was happening in the other hostels of other nations. But in Malawian hostels there was nothing of such nature. We were all as one family, chatting and sharing things.",,,,
,EM,"If things did not, please you in the mine, were you able to make strikes?",,,,
,MM,"Ohm not from Malawians. It was popular with South Africans; they could strike not us (Malawians).",,,,
,EM,"What were the main issues for the strikes?",,,,
,MM,"Mostly were about salary increases. They felt they were being paid peanuts. After the increment, the issue is resolved",,,,
,EM,"But was the wage increment affecting everyone in the mine or just those who prostrated? (South Africans)",,,,
,MM,"Oh! When it comes to the increment of the wages, it was affected on everyone in the mine.",,,,
,EM,"Were you able to listen to the radios, TVs etc.?",,,,
,MM,"Yes, as the hall had radios which was reaching out to other audiences. They were not only for Malawians. It was a public radio. These radios were also used to broadcast timetables as well.",,,,
,EM,"So, you could as well listen to the news? Locals?",,,,
,MM,"True, we could listen to news but mostly local not about Malawi",,,,
,EM,"What about movies?",,,,
,MM,"Only radios no movies",,,,
,EM,"Were you at any time worried about being fired etc?",,,,
,MM,"Not really. We were well protected. And if we find that we are being abused by the white managers, we were given offices where we could report the abuse within the mine.",,,,
,EM,"So, what happens when you reported them?",,,,
,MM,"The abusers were called to explain why they are abusing workers. This is a human right body. Most often this manager would be shifted to another site",,,,
,EM,"Were there a time when some workers were suffering TB and other airborne diseases?",,,,
,MM,"Oh yes, many suffered from TB due to the dust in the mines.",,,,
,EM,"How about you?",,,,
,MM,"Yes, I did though when I came back home but not within the mines",,,,
,EM,"What was the company doing to the TB patient?",,,,
,MM,"They were taken care of by the company. Instead, after being healed, these workers were no longer accepted inside the mine, but were given other duties outside the mine.",,,,
,EM,"Tell me if you don’t mind the amount of money, your salary per day or monthly?",,,,
,,"[He was not sure, he showed me his documents that I should the details. Unfortunately, I didn’t not find that clearly.]",,,,
,EM,"Were you able to go to churches, mosques to worship God?",,,,
,MM,"Oh, yes, we had the freedom to do that. I used to go to the mosque on Fridays; those of Saturdays, and Sundays would also do the same. I was the driver and first aider. Like in the mine, when someone got injured, I was called upon to offer first aid services.",,,,
,EM,"Wow! So, were you getting an increment for doing such services?",,,,
,MM,"Oh yes, I was receiving something extra.",,,,
,,[He insisted that I see the documents that showed his role as first aider],,,,
,EM,"Thanks for the documents. Now tell me, did you get all your bonuses? I see a lot of books about your bonuses",,,,
,MM,"A small chunk of it was given while there, and some here when we arrived back from South Africa.",,,,
,EM,"Oh, so all the moneys you received while in South Africa and others here. That’s nice to hear. I see your books here. Oh, let me see this letter. From whom?",,,,
,MM,"[laughs] From my wife.",,,,
,,"[NB: This letter is attached to his folder. She wrote to him telling him she will remain hopeful that when he comes back home, they will marry and form a family. Somewhere around 1971 during his first trip (contract).and when he returned in 1972, they got married, and still together, 2022.]",,,,
,EM,"So, explain again how the money issue was shared by WNLA to you while in South Africa and Malawi?",,,,
,MM,"Ok, in South Africa they cut half of the whole sum of my monthly wage. The other some was deposited straight into my savings account back in Malawi. That money I used to get it when I came back in Malawi at Ngumbe before going back to my home.",,,,
,,"[He showed me a savings bank account by Malawi Postal Office. I also took a picture and dropped in his folder as well. You can access this document in there]",,,,
,EM,"Tell me what how did you spend your money that you received when you got back home?",,,,
,MM,"I first built a house and bought cows. But they stole the cows.",,,,
,EM,"Uh really? That’s bad",,,,
,MM,"Yes.",,,,
,EM,"So, when did you get married? And how many children?",,,,
,MM,"I got married when I came back in 1973. And I had 9 children but am left with 4 now.",,,,
,EM,"When you came back home how were you received by family?",,,,
,MM,"All of them received me very well. They were looking forward to seeing me",,,,
,EM,"The period you were working in South Africa, it was the era of the White Regime. And apartheid was high, did it affect you?",,,,
,MM,"Not at all. We knew that white is ruling and heard of the backlash, but never affected me.",,,,
,EM,"How about inside the mine? Were there pockets or elements of apartheid, xenophobia amongst the white managers and black Africans labourers?",,,,
,MM,"Oh, no ways. They were very good to us foreigners. So, I would be doing justice or being honest to say I experienced apartheid. Even when we went outside the mine, we had tags and numbers. When we met police, they knew we were mine workers and have nothing to do with what was happening in their communities",,,,
,EM,"Am now done with my questions. But before I end, let me summarize. You left first under WNLA in 1971 up to 1973, then you went again in 1974 to 1975?",,,,
,MM,"Exactly, however, when the plane crashed, I was still in South Africa, working in the mine. The news reached us that a plane from Malawi with mine workers crashed.",,,,
,EM,"So, this flight had Malawian workers to come to work in the mines like you?",,,,
,MM,"Yes.",,,,
,EM,"On the current mentioned and hyped compensation, are also considered? Registered? Or you already got your bonuses?",,,,
,MM,"No, I never received anything.",,,,
,EM,"So, it means you are on the list for this consideration?",,,,
,MM,"Yes. I am struggling. I am struggling with the kids",,,,
,EM,"How old are they?",,,,
,MM,"They are adult and grandchildren. Some of them are robbing my property selling to others. Too bad",,,,
,EM,"Am so happy to have met and talked with you. I would hope to meet you again come 22nd June. We will meet this time in a group. I will be coming with a colleague.",,,,
,MM,"Wow! That will be great. I will make myself present. I look forward to that meeting, Sir.",,,,
